Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Delicias;Arganzuela;House;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;15.0;9;0
Rios Rosas;Chamberí;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;36.0;1;0;1;72.0;21;0
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;300.0;52.0;1;11;2;102.0;8;1
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;200.0;40.0;2;10;2;90.0;14;1
Embajadores;Centro;Bed & Breakfast;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;15.0;8;0
Pradolongo;Usera;House;Private room;2;1.0;1.0;Real Bed;120.0;0.0;1;19;1;21.0;9;1
Acacias;Arganzuela;Bed & Breakfast;Shared room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;33.0;14;0
Palacio;Centro;House;Private room;2;2.0;1.0;Real Bed;0.0;30.0;2;30;1;70.0;17;0
Sol;Centro;Apartment;Entire home/apt;5;1.0;3.0;Real Bed;0.0;20.0;1;0;2;98.0;13;0
Pradolongo;Usera;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;20.0;11;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;20.0;1;0;2;145.0;16;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;30.0;12;0
Castellana;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;47.0;4;0;1;149.0;24;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;0.0;1;10;1;45.0;13;1
Pacífico;Retiro;Apartment;Private room;2;1.0;1.0;Real Bed;450.0;35.0;1;20;2;60.0;9;1
Rios Rosas;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;0.0;2;10;0;75.0;11;1
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;10;1;18.0;14;0
Puerta del Angel;Latina;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;2;23.0;15;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;60.0;14;0
Embajadores;Centro;Apartment;Private room;2;3.0;1.0;Real Bed;0.0;0.0;1;0;2;25.0;5;0
Vallehermoso;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;20;0;45.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;0.0;2;10;2;65.0;17;1
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;15.0;2;6;1;35.0;12;0
Ibiza;Retiro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;25.0;1;0;2;50.0;8;1
Gaztambide;Chamberí;Condominium;Entire home/apt;6;1.0;2.0;Real Bed;100.0;20.0;4;5;0;80.0;13;1
Universidad;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;15;1;45.0;9;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;0.0;1;10;0;35.0;11;1
Palos de Moguer;Arganzuela;Condominium;Private room;2;2.0;1.0;Real Bed;94.0;5.0;1;5;0;31.0;19;1
Embajadores;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;150.0;25.0;4;10;1;59.0;22;1
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;500.0;50.0;2;35;1;180.0;19;1
Delicias;Arganzuela;Apartment;Entire home/apt;14;2.0;4.0;Real Bed;100.0;50.0;4;12;1;70.0;28;1
San Cristobal;Villaverde;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;20.0;1;0;1;53.0;16;0
Jerónimos;Retiro;House;Private room;2;1.0;1.0;Pull-out Sofa;0.0;20.0;1;0;2;90.0;11;0
Cortes;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;100.0;30.0;4;15;2;90.0;14;1
Recoletos;Salamanca;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;150.0;30.0;2;15;0;70.0;17;1
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;11;0
Estrella;Retiro;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;29.0;16;0
Berruguete;Tetuán;Loft;Entire home/apt;2;1.0;1.0;Real Bed;90.0;10.0;1;11;1;49.0;11;1
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;5;2.5;3.0;Real Bed;0.0;0.0;1;0;0;200.0;16;0
Canillas;Hortaleza;Apartment;Entire home/apt;8;2.0;4.0;Real Bed;0.0;0.0;1;0;1;90.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;10;0;40.0;8;0
