Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Universidad;Centro;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;150.0;0.0;1;0;1;110.0;11;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;11.0;1;0;0;50.0;15;0
Castellana;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;0;17.0;12;0
Berruguete;Tetuán;House;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;0;20.0;10;0
Imperial;Arganzuela;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;2;25.0;17;0
Embajadores;Centro;House;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;10;0
Aluche;Latina;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;10.0;1;0;0;29.0;13;0
Quintana;Ciudad Lineal;House;Entire home/apt;4;1.0;2.0;Real Bed;0.0;30.0;2;5;1;80.0;16;0
Trafalgar;Chamberí;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;0.0;2;15;0;130.0;15;0
Sol;Centro;Other;Private room;2;1.0;1.0;Real Bed;0.0;10.0;2;20;1;60.0;7;0
Cortes;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;0.0;1;0;0;170.0;0;0
Embajadores;Centro;House;Entire home/apt;7;2.0;4.0;Real Bed;900.0;50.0;1;10;2;160.0;7;1
Trafalgar;Chamberí;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;0;26.0;12;0
Universidad;Centro;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;300.0;0.0;2;20;1;100.0;21;1
Gaztambide;Chamberí;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;15.0;1;10;0;22.0;13;0
Trafalgar;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;40.0;2;10;2;95.0;13;1
Fuente del Berro;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;300.0;0.0;1;0;1;20.0;12;1
San Diego;Puente de Vallecas;Apartment;Shared room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;26.0;8;0
Hispanoamérica;Chamartín;House;Private room;1;1.0;1.0;Real Bed;200.0;0.0;1;0;1;45.0;11;1
Sol;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;300.0;40.0;4;20;2;135.0;19;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;100.0;10.0;4;10;1;65.0;16;1
Lista;Salamanca;House;Private room;2;1.0;1.0;Real Bed;150.0;15.0;1;15;2;35.0;20;1
Hispanoamérica;Chamartín;Other;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;55.0;19;0
Los Rosales;Villaverde;Apartment;Private room;3;1.5;1.0;Real Bed;0.0;0.0;1;10;2;14.0;16;0
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;2;0;0;80.0;12;0
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;12.0;1;0;1;55.0;12;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;5;0;40.0;18;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;45.0;12;0
Sol;Centro;Apartment;Entire home/apt;5;1.0;1.0;Real Bed;0.0;25.0;3;15;0;80.0;11;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;30.0;1;0;1;99.0;16;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;6;1;21.0;11;0
Chopera;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;25.0;14;0
Amposta;San Blas - Canillejas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;15;1;24.0;12;0
Chopera;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;8.0;1;5;1;21.0;13;0
Chopera;Arganzuela;House;Private room;6;2.0;4.0;Real Bed;150.0;25.0;1;22;2;23.0;27;1
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;30.0;1;10;0;65.0;24;0
Bellas Vistas;Tetuán;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;10.0;1;0;0;27.0;12;1
Cortes;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;250.0;30.0;2;15;1;80.0;14;1
Jerónimos;Retiro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;11;2;22.0;17;0
Puerta del Angel;Latina;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;60.0;2;5;1;30.0;4;1
Hispanoamérica;Chamartín;Other;Private room;3;1.0;1.0;Real Bed;0.0;0.0;2;15;1;70.0;16;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;20.0;2;10;1;70.0;20;1
Canillas;Hortaleza;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;10;0
San Andrés;Villaverde;Apartment;Entire home/apt;7;2.0;3.0;Real Bed;0.0;0.0;1;0;0;70.0;23;0
Abrantes;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;17;0;17.0;15;0
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;15;1;32.0;15;0
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;70.0;10;0
Vista Alegre;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;12.0;1;10;0;15.0;12;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;46.0;18;0
Nueva España;Chamartín;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;0.0;1;0;0;60.0;21;0
Trafalgar;Chamberí;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;1;0
Ventas;Ciudad Lineal;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;2;19.0;19;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;15.0;2;10;2;52.0;11;0
Valdeacederas;Tetuán;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;90.0;0.0;1;15;0;30.0;12;1
Chopera;Arganzuela;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;7;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;100.0;0.0;2;17;0;50.0;12;1
Cortes;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;32.0;5;0
Imperial;Arganzuela;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;15.0;1;0;0;35.0;12;0
Pinar del Rey;Hortaleza;Apartment;Shared room;2;1.0;1.0;Real Bed;0.0;0.0;1;5;0;15.0;8;0
Colina;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;0.0;Pull-out Sofa;90.0;30.0;2;10;1;50.0;15;1
Almenara;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;45.0;11;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;38.0;12;0
Castilla;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;20.0;1;10;1;45.0;20;1
San Diego;Puente de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;7;0
Sol;Centro;House;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;4;0;2;99.0;26;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;55.0;13;0
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;150.0;0.0;6;0;1;90.0;12;1
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;55.0;15;0
Cármenes;Latina;House;Entire home/apt;5;1.0;2.0;Real Bed;0.0;0.0;4;20;0;120.0;17;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;5;0;69.0;16;0
Sol;Centro;Condominium;Private room;2;2.0;1.0;Real Bed;0.0;10.0;2;10;2;20.0;16;0
Gaztambide;Chamberí;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;0.0;15.0;3;10;1;60.0;9;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;150.0;30.0;1;0;1;87.0;22;1
Puerta del Angel;Latina;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;7;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;15.0;2;15;2;70.0;12;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;15;2;30.0;16;0
Jerónimos;Retiro;House;Entire home/apt;5;2.0;2.0;Real Bed;100.0;60.0;4;30;0;250.0;19;1
Nueva España;Chamartín;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;45.0;10;0
San Diego;Puente de Vallecas;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;150.0;0.0;1;0;1;100.0;13;1
Castellana;Salamanca;Condominium;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;35.0;18;0
Casco Histórico de Vicálvaro;Vicálvaro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;23.0;11;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;200.0;48.0;2;11;1;119.0;17;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;35.0;3;5;1;75.0;13;1
Costillares;Ciudad Lineal;Apartment;Entire home/apt;4;1.5;2.0;Real Bed;300.0;50.0;1;0;2;65.0;16;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;24.0;2;5;0;70.0;12;1
Cortes;Centro;Apartment;Private room;3;2.0;1.0;Real Bed;0.0;10.0;2;20;2;25.0;7;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;10;0
Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;5;0;30.0;20;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;15;0;35.0;15;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;0.0;1;0;2;70.0;11;0
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;2;30.0;8;0
Embajadores;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;43.0;6;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;25.0;1;0;2;46.0;15;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;10.0;1;10;1;28.0;15;1
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;120.0;0.0;2;12;1;55.0;12;1
Goya;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;300.0;0.0;1;0;1;78.0;27;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;32.0;2;11;1;81.0;18;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;30.0;1;0;0;49.0;9;0
Embajadores;Centro;Apartment;Private room;3;1.0;1.0;Real Bed;175.0;30.0;2;10;2;74.0;22;1
Rios Rosas;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;35.0;2;5;1;68.0;22;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;25;0;50.0;16;0
Goya;Salamanca;Apartment;Entire home/apt;5;1.0;1.0;Real Bed;200.0;0.0;4;10;2;85.0;13;1
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;0;24.0;16;0
Universidad;Centro;Hostel;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;36.0;11;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;94.0;30.0;1;0;1;79.0;22;1
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;6;3.0;4.0;Real Bed;450.0;60.0;2;0;2;390.0;20;1
San Isidro;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;11;1;21.0;16;0
Estrella;Retiro;House;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;0;70.0;7;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;30.0;1;0;2;88.0;14;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;0;136.0;27;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;25.0;2;30;2;85.0;19;1
Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;2;89.0;18;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;28;1;78.0;20;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;350.0;75.0;5;20;1;66.0;9;1
Sol;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;20.0;1;0;2;99.0;16;0
Embajadores;Centro;Bed & Breakfast;Shared room;10;2.0;1.0;Real Bed;0.0;0.0;1;18;2;17.0;13;0
Guindalera;Salamanca;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;13;0
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;8;0;26.0;0;0
Lista;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;281.0;23.0;1;19;1;47.0;17;1
Sol;Centro;Condominium;Entire home/apt;2;1.0;0.0;Real Bed;100.0;30.0;1;0;2;50.0;13;1
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;24.0;2;15;2;85.0;22;1
Argüelles;Moncloa - Aravaca;House;Private room;2;0.0;1.0;Real Bed;0.0;0.0;1;0;0;39.0;15;0
Delicias;Arganzuela;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;0.0;0.0;4;0;1;99.0;18;0
Goya;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;33.0;9;0
Justicia;Centro;Condominium;Entire home/apt;2;1.0;0.0;Real Bed;0.0;20.0;1;0;1;45.0;13;0
Embajadores;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;30.0;7;0
Universidad;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;200.0;30.0;6;0;1;195.0;13;1
Estrella;Retiro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;15;0;20.0;22;0
Cuatro Caminos;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;2;5;0;22.0;19;0
Vallehermoso;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;19.0;1;0;0;55.0;16;0
Guindalera;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;10.0;1;15;1;59.0;15;1
Castillejos;Tetuán;House;Private room;2;1.0;1.0;Real Bed;100.0;20.0;1;10;1;28.0;16;1
Goya;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;80.0;2;20;2;90.0;19;0
Sol;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;150.0;50.0;1;20;2;99.0;16;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;47.0;11;0
Hispanoamérica;Chamartín;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;100.0;2;0;2;95.0;15;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;85.0;11;0
Guindalera;Salamanca;House;Entire home/apt;4;1.0;2.0;Real Bed;0.0;24.0;2;10;1;70.0;16;0
Universidad;Centro;Dorm;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;25;1;40.0;10;0
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;840.0;0.0;3;32;0;112.0;24;1
Almagro;Chamberí;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;2;15;2;94.0;17;0
Fuente del Berro;Salamanca;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;100.0;0.0;1;0;0;100.0;19;1
Castillejos;Tetuán;Other;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;2;0;0;90.0;15;0
Cortes;Centro;Apartment;Private room;6;2.0;1.0;Real Bed;0.0;12.0;2;28;2;38.0;13;0
Trafalgar;Chamberí;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;30.0;1;0;2;39.0;10;0
Ciudad Jardín;Chamartín;Apartment;Private room;1;1.0;1.0;Real Bed;100.0;20.0;1;15;1;25.0;10;1
Embajadores;Centro;Apartment;Entire home/apt;4;2.0;1.0;Real Bed;200.0;40.0;2;20;1;70.0;15;1
Lista;Salamanca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;40.0;1;5;2;60.0;15;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;0.0;2;20;2;95.0;17;0
Vista Alegre;Carabanchel;Apartment;Shared room;1;1.5;1.0;Real Bed;0.0;5.0;1;10;1;10.0;23;0
Palomeras Bajas;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;15;2;21.0;6;0
Corralejos;Barajas;Chalet;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;50.0;21;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;40.0;2;10;1;65.0;19;0
Prosperidad;Chamartín;Apartment;Private room;2;1.0;0.0;Real Bed;0.0;20.0;1;0;2;69.0;10;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;95.0;5.0;1;7;0;23.0;10;1
Sol;Centro;Apartment;Private room;2;0.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;12;0
Recoletos;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;4;126.0;18;0
El Goloso;Fuencarral - El Pardo;Condominium;Private room;2;0.5;1.0;Real Bed;0.0;0.0;1;0;0;35.0;25;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;95.0;8.0;1;0;2;30.0;10;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;3;25;1;75.0;11;0
Universidad;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;200.0;50.0;1;10;2;68.0;15;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;170.0;30.0;2;7;0;85.0;16;1
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;0.0;1;15;1;36.0;11;1
Casco Histórico de Vicálvaro;Vicálvaro;Loft;Entire home/apt;4;1.5;1.0;Real Bed;450.0;20.0;3;8;1;39.0;19;1
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;86.0;9.0;1;0;0;25.0;9;1
Delicias;Arganzuela;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;40.0;17;0
Goya;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;2;0;2;36.0;14;0
Palacio;Centro;Loft;Entire home/apt;2;1.0;1.0;Real Bed;300.0;30.0;2;12;2;100.0;8;1
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;2;100.0;19;0
Chopera;Arganzuela;Apartment;Entire home/apt;4;1.0;1.0;Couch;200.0;30.0;1;0;2;46.0;11;1
Los Rosales;Villaverde;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;20.0;14;0
Delicias;Arganzuela;Condominium;Shared room;2;2.0;1.0;Real Bed;100.0;0.0;1;25;1;25.0;14;1
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;30.0;1;30;2;45.0;10;0
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;15.0;1;0;2;20.0;11;0
Ibiza;Retiro;Apartment;Entire home/apt;7;4.0;4.0;Real Bed;0.0;77.0;2;0;2;258.0;22;0
Valverde;Fuencarral - El Pardo;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;2;20;0;60.0;15;0
Acacias;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;300.0;40.0;1;0;1;60.0;13;1
Adelfas;Retiro;Apartment;Entire home/apt;2;1.0;1.0;Futon;100.0;0.0;1;0;1;60.0;15;1
Timón;Barajas;Loft;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;0;30.0;12;0
Cortes;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;42.0;7;0
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;2;86.0;15;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;80.0;14;0
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;1;28.0;15;0
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;200.0;40.0;3;10;1;90.0;21;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;2;60.0;15;0
El Viso;Chamartín;Apartment;Entire home/apt;8;2.0;2.0;Real Bed;300.0;55.0;2;14;2;115.0;22;1
Lista;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;38.0;9;0
Argüelles;Moncloa - Aravaca;House;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;105.0;15;0
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;65.0;13;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;150.0;30.0;2;10;2;55.0;16;1
Lista;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;1;50.0;14;0
Argüelles;Moncloa - Aravaca;Apartment;Private room;4;1.0;2.0;Real Bed;88.0;20.0;1;22;2;23.0;27;1
Delicias;Arganzuela;Apartment;Private room;4;1.5;1.0;Real Bed;150.0;15.0;1;15;1;29.0;11;1
Trafalgar;Chamberí;Other;Entire home/apt;9;1.0;3.0;Real Bed;100.0;40.0;4;20;0;98.0;8;1
San Juan Bautista;Ciudad Lineal;Apartment;Private room;2;1.0;1.0;Real Bed;200.0;25.0;1;36;0;39.0;23;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;2;50.0;11;0
Ventas;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;17.0;13;0
Pacífico;Retiro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;10.0;2;36;0;95.0;18;0
Canillas;Hortaleza;House;Entire home/apt;9;4.0;5.0;Real Bed;100.0;15.0;1;30;0;200.0;23;1
Acacias;Arganzuela;Apartment;Private room;2;2.0;2.0;Real Bed;0.0;0.0;1;0;2;45.0;16;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Pull-out Sofa;0.0;20.0;2;15;2;55.0;16;0
Trafalgar;Chamberí;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;35.0;14;0
Opañel;Carabanchel;House;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;30.0;16;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;51.0;11;0
Embajadores;Centro;Loft;Entire home/apt;3;1.0;1.0;Real Bed;200.0;0.0;2;15;1;59.0;9;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;15;1;45.0;17;0
Cortes;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;8;0
Embajadores;Centro;Apartment;Private room;2;4.0;1.0;Real Bed;0.0;15.0;1;0;2;20.0;8;0
Gaztambide;Chamberí;Bed & Breakfast;Private room;1;6.0;1.0;Real Bed;90.0;0.0;1;35;2;35.0;12;1
Ventas;Ciudad Lineal;Apartment;Entire home/apt;7;1.0;2.0;Real Bed;0.0;20.0;3;9;1;38.0;10;0
Cuatro Caminos;Tetuán;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;10;0;24.0;21;0
Chopera;Arganzuela;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;0;1;35.0;12;0
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;89.0;36.0;1;0;0;79.0;17;1
Ibiza;Retiro;Apartment;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;8;0
Pacífico;Retiro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;150.0;0.0;1;0;1;100.0;16;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;1;0;2;49.0;12;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;35.0;12;0
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;200.0;0.0;3;0;2;62.0;9;1
Delicias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;18;1;26.0;19;0
Timón;Barajas;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;0;19.0;12;0
Costillares;Ciudad Lineal;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;0.0;3;20;2;70.0;13;1
Sol;Centro;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;5.0;2;0;0;28.0;7;0
Goya;Salamanca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;3;0;2;36.0;16;0
Recoletos;Salamanca;Condominium;Entire home/apt;5;2.0;2.0;Real Bed;0.0;100.0;1;0;0;200.0;10;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;150.0;10.0;1;0;2;50.0;13;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;100.0;40.0;2;10;1;80.0;13;1
Comillas;Carabanchel;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;20.0;3;15;2;69.0;14;0
Universidad;Centro;Bed & Breakfast;Private room;4;0.5;1.0;Real Bed;0.0;0.0;1;0;0;80.0;1;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;70.0;7;0
